year_month,geography,segment,variety,timeframe,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance
2017-02-01,Louisville,avocados,hass,last 04 wks,2,2017-02-26,445527.85,412347.88,-0.074473392,437196.43,463580.95,0.060349349,0.98129989,1.124247201,0.145671383
2018-04-01,Nashville,avocados,hass,last 04 wks,4,2018-04-22,893269.57,1201697.09,0.345279332,1082059.27,1144210.14,0.057437584,1.211346839,0.952161863,-0.213964298
2018-07-01,Columbus,avocados,hass,last 04 wks,7,2018-07-15,865706.16,1105047.1,0.276469027,972525.75,987636.57,0.015537707,1.123390124,0.893750656,-0.204416492
2018-02-01,Jacksonville,avocados,hass,last 04 wks,2,2018-02-25,899714.16,988140.7,0.098282926,878416.64,1093433.17,0.244777387,0.976328571,1.106556151,0.133384994
2018-01-01,GreatLakes,avocados,hass,last 04 wks,1,2018-01-28,15650916.91,17398324.82,0.111648916,17733337.66,20399196.67,0.150330359,1.133054233,1.172480505,0.034796456
2020-06-01,SanDiego,avocados,hass,last 04 wks,6,2020-06-14,2284392.96,3205479.27,0.403208347,3132696.46,3710259.46,0.184366091,1.37134745,1.157474171,-0.155958491
2018-02-01,Seattle,avocados,hass,last 04 wks,2,2018-02-25,2535384.57,2815535.55,0.110496444,2953146.51,3494627.69,0.183357371,1.164772613,1.24119466,0.06561113
2020-02-01,Seattle,avocados,hass,last 04 wks,2,2020-02-23,3015062.95,3082318.83,0.022306625,3754801.17,4015883.57,0.069532949,1.245347521,1.302877409,0.04619585
2019-03-01,Sacramento,avocados,hass,last 04 wks,3,2019-03-24,2244907.81,2152639.24,-0.04,2620134.1,2623094.05,0,1.167145523,1.218547911,0.04
2018-08-01,TotalUS,avocados,hass,last 04 wks,8,2018-08-12,135885639.5,169496745.6,0.247348479,181254600.9,192646861.8,0.062852258,1.333876056,1.136581479,-0.147910727
2018-08-01,Houston,avocados,hass,last 04 wks,8,2018-08-12,4824000.35,5976535.73,0.238916935,4868007.24,4870725.63,0.000558419,1.009122489,0.814974736,-0.192392653
2019-12-01,Spokane,avocados,hass,last 04 wks,12,2019-12-01,277914,379586,0.37,387768,451445,0.16,1.4,1.19,-0.15
2018-11-01,Raleigh/Greensboro,avocados,hass,last 04 wks,11,2018-11-04,1065717.23,1473080.58,0.382243374,1668246.73,1640277.01,-0.016765937,1.565374644,1.113501211,-0.288667914
2019-10-01,Columbus,avocados,hass,last 04 wks,10,2019-10-06,871336.35,968607.75,0.11,979793.1,1060005.22,0.08,1.124471738,1.094359631,-0.03
2017-01-01,Cincinnati/Dayton,avocados,hass,last 04 wks,13,2017-01-01,721326.27,810997.71,0.124314674,716736.13,940642.3,0.312396935,0.993636527,1.159858146,0.167286139
2017-02-01,NorthernNewEngland,avocados,hass,last 04 wks,2,2017-02-26,1979558.79,2200764.03,0.111744719,2115079.94,2633510.44,0.245111539,1.06846028,1.196634625,0.119961731
2019-09-01,Richmond/Norfolk,avocados,hass,last 04 wks,9,2019-09-08,1272666.19,1312069.05,0.03,1485376.2,1568314.64,0.06,1.167137315,1.19529886,0.02
2017-02-01,GrandRapids,avocados,hass,last 04 wks,2,2017-02-26,778622.93,921901.48,0.184015323,843557.31,983914.2,0.166386905,1.083396439,1.067266103,-0.014888674
2017-12-01,Richmond/Norfolk,avocados,hass,last 04 wks,12,2017-12-03,773652.14,850090.12,0.098801485,969968.41,1013895.24,0.045286867,1.253752636,1.192691476,-0.048702717
2019-07-01,Denver,avocados,hass,last 04 wks,7,2019-07-14,3992884.26,3592226.45,-0.1,4366562.02,5152292.44,0.18,1.093585923,1.434289434,0.31
2018-02-01,Northeast,avocados,hass,last 04 wks,2,2018-02-25,20817016.88,23444337.22,0.126210223,26529576.42,30142989.78,0.136203206,1.274417779,1.285725824,0.008873106
2019-04-01,SouthCentral,avocados,hass,last 04 wks,4,2019-04-21,33258176.81,32059198.65,-0.04,26459475.08,28024233.59,0.06,0.795578039,0.874140177,0.1
2019-12-01,Houston,avocados,hass,last 04 wks,13,2019-12-29,5787522.82,4985350.76,-0.138603697,4270666.89,3902962.08,-0.086100092,0.737909296,0.782886153,0.060951742
2017-06-01,Houston,avocados,hass,last 04 wks,6,2017-06-18,4646571.19,5236716.33,0.127006585,4140564.98,5038883.86,0.216955629,0.891101161,0.962222038,0.07981235
2019-12-01,Sacramento,avocados,hass,last 04 wks,12,2019-12-01,1420170,1695343,0.19,2087224,2291019,0.1,1.47,1.35,-0.08
2020-07-01,Nashville,avocados,hass,last 04 wks,7,2020-07-12,1047684.2,1479785.98,0.41243514,1397657.32,1348121.07,-0.035442343,1.334044476,0.911024356,-0.317095965
2020-04-01,Louisville,avocados,hass,last 04 wks,4,2020-04-19,607071.87,643439.92,0.059907322,627702.51,624901.33,-0.004462592,1.033983851,0.971188312,-0.060731644
2019-08-01,Detroit,avocados,hass,last 04 wks,8,2019-08-11,2135524.75,1663214.28,-0.22,2287441.25,2607024.65,0.14,1.071137785,1.56746168,0.46
2018-02-01,Indianapolis,avocados,hass,last 04 wks,2,2018-02-25,863709.21,1007691.6,0.16670239,875397.66,897339.95,0.025065511,1.013532853,0.890490652,-0.121399322
2019-02-01,Cincinnati/Dayton,avocados,hass,last 04 wks,2,2019-02-24,1234459.48,1409956.39,0.14,1079849.38,1159318.99,0.07,0.87475482,0.822237481,-0.06
2018-04-01,Columbus,avocados,hass,last 04 wks,4,2018-04-22,732981.22,1036448.96,0.414018438,960735.97,972280.94,0.012016798,1.310723855,0.938088587,-0.284297311
2017-12-01,Nashville,avocados,hass,last 04 wks,12,2017-12-03,580132.54,804878.33,0.387404213,790089.39,853695.5,0.080504954,1.361911866,1.060651614,-0.221203926
2017-07-01,Boston,avocados,hass,last 04 wks,7,2017-07-16,2227183.83,2160131.02,-0.030106545,3137910.64,3626318.12,0.155647351,1.408914072,1.678749153,0.191519899
2018-03-01,Spokane,avocados,hass,last 04 wks,3,2018-03-25,356570.39,393486.33,0.103530582,445426.67,480339.07,0.07837968,1.249197024,1.220726194,-0.022791305
2017-04-01,LosAngeles,avocados,hass,last 04 wks,4,2017-04-23,11084712.16,10017031.07,-0.096320146,10086223.91,13203627.44,0.309075384,0.909922041,1.318117848,0.448605253
2020-06-01,Atlanta,avocados,hass,last 04 wks,6,2020-06-14,3118871.4,4085471.55,0.309919848,3486892.58,4113886.2,0.179814435,1.11799819,1.006955048,-0.099323186
2018-12-01,Syracuse,avocados,hass,last 04 wks,12,2018-12-02,262693.83,262785.21,0.000347857,315213.59,341653.62,0.083879727,1.19992765,1.300124996,0.083502823
2020-06-01,Hartford/Springfield,avocados,hass,last 04 wks,6,2020-06-14,1607128.55,2096651.64,0.304594856,2427934.01,3041915.3,0.252882198,1.510727944,1.450844404,-0.039638864
2017-01-01,Tampa,avocados,hass,last 04 wks,13,2017-01-01,1391737.86,1537538.64,0.104761668,1458080.23,1730075.9,0.186543692,1.047668725,1.125224339,0.074026848
2017-03-01,Seattle,avocados,hass,last 04 wks,3,2017-03-26,2264120.61,2202770.4,-0.027096706,2901507.17,3155307.84,0.087472012,1.281516169,1.43242702,0.117759615
2019-06-01,Spokane,avocados,hass,last 04 wks,6,2019-06-16,474456.67,438939.59,-0.08,563445.44,633464.82,0.12,1.187559319,1.443170847,0.22
2018-08-01,Portland,avocados,hass,last 04 wks,8,2018-08-12,2273318.93,2825257.2,0.242789634,3317752.49,3523743.55,0.062087531,1.459431163,1.247229297,-0.145400394
2017-02-01,Philadelphia,avocados,hass,last 04 wks,2,2017-02-26,2084505.67,2182902.44,0.047203887,2332292.67,2798589.81,0.1999308,1.118870869,1.282049879,0.145842577
2019-07-01,Buffalo/Rochester,avocados,hass,last 04 wks,7,2019-07-14,890916.37,740398.59,-0.17,1015259.9,1004539.52,-0.01,1.139568128,1.356755042,0.19
2019-11-01,Sacramento,avocados,hass,last 04 wks,11,2019-11-03,2027796.78,1821472.38,-0.1,2420496.78,2378582.03,-0.02,1.193658459,1.305856765,0.09
2019-12-01,Philadelphia,avocados,hass,last 04 wks,12,2019-12-01,1700998,2076633,0.22,2210636,2532904,0.15,1.3,1.22,-0.06
2020-04-01,Hartford/Springfield,avocados,hass,last 04 wks,4,2020-04-19,1622263.37,1720564.98,0.060595346,2126195.39,2632866.45,0.238299388,1.310635147,1.530233662,0.167551218
2017-09-01,Boise,avocados,hass,last 04 wks,9,2017-09-10,283961.7,318189.61,0.120537065,330378.18,484238.93,0.465710992,1.163460354,1.521856512,0.308043292
2017-07-01,Tampa,avocados,hass,last 04 wks,7,2017-07-16,1730577.25,1571470.76,-0.091938392,1883912.01,2195530.11,0.165410114,1.088603245,1.397118016,0.283404236
2018-05-01,Boston,avocados,hass,last 04 wks,5,2018-05-20,2438232.75,4254451.02,0.744891262,4049987.52,4629432.57,0.143073293,1.661034009,1.088138645,-0.34490285
2019-12-01,SouthCentral,avocados,hass,last 04 wks,13,2019-12-29,27876980.78,26650353.05,-0.044001456,21864638.91,20242609.32,-0.074185062,0.784325931,0.75956252,-0.031572858
2017-04-01,Sacramento,avocados,hass,last 04 wks,4,2017-04-23,1969852.08,1571138.69,-0.202407782,2193874.68,2423223.9,0.104540712,1.113725595,1.542336087,0.384843892
2018-11-01,SouthCarolina,avocados,hass,last 04 wks,11,2018-11-04,1273924.04,1804595.36,0.416564335,1853834.96,1867489.27,0.00736544,1.455216247,1.034852085,-0.288867145
2018-12-01,Indianapolis,avocados,hass,last 04 wks,13,2018-12-30,700905.81,846056.49,0.207090137,832712.59,818845.61,-0.016652781,1.188052058,0.967837987,-0.185357257
2019-11-01,NewOrleans/Mobile,avocados,hass,last 04 wks,11,2019-11-03,1151638.61,1274599.1,0.11,1265316.03,1195463.37,-0.06,1.098709282,0.937913239,-0.15
2019-03-01,Spokane,avocados,hass,last 04 wks,3,2019-03-24,393486.33,461470.62,0.17,480339.07,548422.58,0.14,1.220726194,1.18842361,-0.03
2018-07-01,Harrisburg/Scranton,avocados,hass,last 04 wks,7,2018-07-15,1060626.53,1525508.48,0.438308808,1482714.14,1637432.03,0.104347754,1.397960637,1.073368029,-0.232190092
2019-12-01,Indianapolis,avocados,hass,last 04 wks,13,2019-12-29,846056.49,822594.36,-0.027731162,818845.61,769774.69,-0.05992695,0.967837987,0.935788923,-0.03311408
2019-02-01,SanDiego,avocados,hass,last 04 wks,2,2019-02-24,2455977.68,2914337.29,0.19,2523228.8,2514700.56,0,1.027382627,0.862872176,-0.16
2017-05-01,Sacramento,avocados,hass,last 04 wks,5,2017-05-21,2032535.49,1774661.26,-0.126873175,2239527.06,2775244.36,0.239210014,1.101839093,1.563816387,0.419278366
2019-03-01,Buffalo/Rochester,avocados,hass,last 04 wks,3,2019-03-24,759068.16,876522.16,0.16,887328.19,979329.31,0.1,1.168970373,1.117289847,-0.04
2019-06-01,Raleigh/Greensboro,avocados,hass,last 04 wks,6,2019-06-16,1652838.7,1632503.46,-0.01,2054931.82,2138727.52,0.04,1.243274265,1.310090651,0.05
2018-02-01,Cincinnati/Dayton,avocados,hass,last 04 wks,2,2018-02-25,1177788.55,1234459.48,0.048116387,1211748.52,1079849.38,-0.108850259,1.028833673,0.87475482,-0.149760702
2019-07-01,SouthCarolina,avocados,hass,last 04 wks,7,2019-07-14,2156456.73,1776528,-0.18,2356442.39,2612637.87,0.11,1.092738082,1.470642664,0.35
2018-05-01,Sacramento,avocados,hass,last 04 wks,5,2018-05-20,1774661.26,2400190.09,0.352477875,2775244.36,2797865.92,0.008151196,1.563816387,1.16568514,-0.25458951
2020-03-01,Columbus,avocados,hass,last 04 wks,3,2020-03-22,1083497.04,1213108.69,0.119623446,965784.11,1247740.47,0.291945536,0.891358328,1.028547961,0.153910755
2017-08-01,Nashville,avocados,hass,last 04 wks,8,2017-08-13,781733.15,974712.05,0.246860326,918408.97,1114232.34,0.213220228,1.174836925,1.143140007,-0.026979844
2019-12-01,Harrisburg/Scranton,avocados,hass,last 04 wks,13,2019-12-29,1158830.75,1194946.67,0.031165828,1278633.73,1219796.94,-0.046015359,1.103382638,1.020796133,-0.074848472
2018-10-01,Jacksonville,avocados,hass,last 04 wks,10,2018-10-07,571806.9,919547.09,0.608142696,1057123.94,1029103.22,-0.026506561,1.848742889,1.119141403,-0.394647352
2017-08-01,WestTex/NewMexico,avocados,hass,last 04 wks,8,2017-08-13,3182839.96,3589166.76,0.127661713,3196475.64,3456925.91,0.081480449,1.004284124,0.963155557,-0.040953118
2019-04-01,Detroit,avocados,hass,last 04 wks,4,2019-04-21,2108136.07,2406270.77,0.14,2194824.41,2389883.6,0.09,1.041120847,0.993189806,-0.05
2018-02-01,Southeast,avocados,hass,last 04 wks,2,2018-02-25,18694159.63,21354894.94,0.142329763,18488898.44,22882382.48,0.237628221,0.989020037,1.071528684,0.083424647
2019-12-01,Louisville,avocados,hass,last 04 wks,12,2019-12-01,389219,427814,0.1,432523,437013,0.01,1.11,1.02,-0.08
2020-01-01,SanDiego,avocados,hass,last 04 wks,1,2020-01-26,2548147.3,2544208.46,-0.001545766,2521798.23,2654103.49,0.052464649,0.989659519,1.043194193,0.054094032
2017-08-01,LasVegas,avocados,hass,last 04 wks,8,2017-08-13,1119328.69,1245731.55,0.112927383,1421418.14,1580904.54,0.112202311,1.269884488,1.269057158,-0.0006515
