year_month,geography,date,type,avg_price,price_total_volume,four_zero_four_six_units,four_two_two_five_units,four_seven_seven_zero_units,total_bags,s_bags,l_bags,xl_bags,status,prod_total_volume,california,prod,chile,mexico,peru,columbia
2018-01-01,Boston,1/14/2018,organic,1.73,29468.36,12.77,2380.23,0,27075.36,23926.76,3148.6,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Boston,1/21/2018,conventional,1.12,999783.13,15177.93,865836.92,6492.83,112275.45,85468.78,26806.67,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Boston,1/21/2018,organic,1.82,26704.98,60.87,2647.48,0,23996.63,21985.03,2011.6,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Boston,1/28/2018,conventional,1.22,800274.4,14384.54,680080.04,2656.9,103152.92,77511.92,25561,80,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Boston,1/28/2018,organic,1.72,30846.35,14.65,1628.45,0,29203.25,27876.23,1327.02,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Boston,1/7/2018,conventional,1.28,685417.51,12012.96,557314.83,4961.24,111128.48,58834.32,52294.16,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Boston,1/7/2018,organic,1.91,30096,14.46,2704.48,0,27377.06,25121.53,2255.53,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Buffalo/Rochester,1/14/2018,conventional,1.32,159070.65,8239.41,80916.85,40.26,69874.13,27693.23,42180.9,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Buffalo/Rochester,1/14/2018,organic,1.19,10864.95,318.7,133.26,0,10412.99,3248.18,7164.81,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Buffalo/Rochester,1/21/2018,conventional,1.29,161887.27,8269.77,75965.53,61.69,77590.28,26340.41,51249.87,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Buffalo/Rochester,1/21/2018,organic,1.23,7288.58,309.8,119.81,0,6858.97,3581.4,3277.57,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Buffalo/Rochester,1/28/2018,conventional,1.27,158637.92,8099.96,76070.49,96.23,74371.24,12060.74,62156.06,154.44,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Buffalo/Rochester,1/28/2018,organic,1.17,13405.95,232.33,150.46,0,13023.16,11059.23,1963.93,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Buffalo/Rochester,1/7/2018,conventional,1.28,161876.76,8645.3,92302.56,56.67,60872.23,12248.04,48624.19,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Buffalo/Rochester,1/7/2018,organic,1.17,9115.92,283.13,90.07,0,8742.72,4250.19,4492.53,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,California,1/14/2018,conventional,1.27,5927016.73,2098762.55,2356359.93,151045.33,1320848.92,1226559.09,25390.97,68898.86,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,California,1/14/2018,organic,1.61,216681.04,52253.4,95353.95,0,69073.69,69054.51,19.18,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,California,1/21/2018,conventional,1.12,6610010.64,2378177.09,2590301.7,122950.68,1518581.17,1431898.88,24801.59,61880.7,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,California,1/21/2018,organic,1.69,181974.98,34411.37,64513.67,0,83049.94,83022.84,27.1,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,California,1/28/2018,conventional,1.16,6134040.58,2254631.8,2185495.65,121090.87,1572822.26,1480527.7,24545.94,67748.62,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,California,1/28/2018,organic,1.87,170998.81,30070.62,58357.89,0,82570.3,82563.11,7.19,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,California,1/7/2018,conventional,1.19,5756632.36,2350838.88,1704810.36,135053.06,1565930.06,1465321.32,25951.12,74657.62,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,California,1/7/2018,organic,1.95,156341.57,42992.91,56007.79,0,57340.87,57271.15,69.72,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Charlotte,1/14/2018,conventional,1.38,251260.54,60751.23,97094.95,5512.27,87902.09,82964.19,4937.9,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Charlotte,1/14/2018,organic,1.45,19522.15,17.87,7132.92,241.85,12129.51,12116.18,13.33,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Charlotte,1/21/2018,conventional,1.11,331324.99,74246.57,80371.21,4657.83,172049.38,165016.97,7031.3,1.11,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Charlotte,1/21/2018,organic,1.62,12422.7,8.94,5461.01,246.99,6705.76,6703.12,2.64,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Charlotte,1/28/2018,conventional,1.37,247893.13,68666.93,79639.9,4802.79,94783.51,89456.12,5327.39,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Charlotte,1/28/2018,organic,1.76,12432.58,21.47,6626.86,271.36,5512.89,5080.46,432.43,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Charlotte,1/7/2018,conventional,1.36,243301.08,69157.01,80320.79,4915.1,88908.18,84280.34,4627.84,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Charlotte,1/7/2018,organic,1.08,28741.11,22.16,6254.59,225.17,22239.19,22132.06,107.13,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Chicago,1/14/2018,conventional,1.64,762997.53,82376.44,440322.05,134141.55,106157.49,93374.57,12782.92,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Chicago,1/14/2018,organic,1.79,44955.89,133.39,31177.44,0,13645.06,13635.06,10,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Chicago,1/21/2018,conventional,1.42,951648.11,110759.53,473797.46,154585.97,212505.15,79124.15,133370.44,10.56,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Chicago,1/21/2018,organic,1.82,36688.67,83.93,28134.16,0,8470.58,8470.58,0,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Chicago,1/28/2018,conventional,1.36,947968.47,108233.69,515116.55,124271.04,200347.19,79871.28,120462.37,13.54,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Chicago,1/28/2018,organic,1.72,40770.94,215.4,31318.93,0,9236.61,9236.61,0,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Chicago,1/7/2018,conventional,1.5,842141.42,132853.21,475772.58,139314.8,94200.83,85019.84,9161.86,19.13,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Chicago,1/7/2018,organic,1.83,41573.25,118.84,29600.36,0,11854.05,11850.72,3.33,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Cincinnati/Dayton,1/14/2018,conventional,1.15,243366.13,59620.01,30542.73,19975.22,133228.17,123961.02,9260.42,6.73,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Cincinnati/Dayton,1/14/2018,organic,1.71,19434.36,610.29,5917.68,0,12906.39,4369.52,8536.87,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Cincinnati/Dayton,1/21/2018,conventional,0.89,321809.3,92142.87,54830.94,12823.81,162011.68,148818.14,13170.73,22.81,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Cincinnati/Dayton,1/21/2018,organic,1.6,18364.37,678.73,5179.83,0,12505.81,2688.54,9817.27,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Cincinnati/Dayton,1/28/2018,conventional,0.92,281913.49,78131.98,27858.19,11786.66,164136.66,155062.73,9071.23,2.7,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Cincinnati/Dayton,1/28/2018,organic,1.51,15027.47,702.32,4805.49,0,9519.66,3133.44,6386.22,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Cincinnati/Dayton,1/7/2018,conventional,0.91,303592.92,98045.53,37713.62,18889.29,148944.48,130642.78,18046.8,254.9,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Cincinnati/Dayton,1/7/2018,organic,1.71,13141.82,710.55,5212.44,0,7218.83,3380.57,3838.26,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Columbus,1/14/2018,conventional,1.07,194619.31,77236.77,24462.37,3266.68,89653.49,75499.35,14125.61,28.53,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Columbus,1/14/2018,organic,1.3,10424.33,977,1620.14,0,7827.19,7350.79,476.4,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Columbus,1/21/2018,conventional,0.99,214353.02,75486.73,52395.54,4298.3,82172.45,63261.5,18897.31,13.64,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Columbus,1/21/2018,organic,1.5,8977.97,613.65,1852.11,0,6512.21,4083.63,2428.58,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Columbus,1/28/2018,conventional,1.03,187523.2,60555.62,23671.37,3175.28,100120.93,83156.44,16932.05,32.44,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Columbus,1/28/2018,organic,1.43,7669.31,564.77,1557.33,0,5547.21,4090.06,1457.15,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Columbus,1/7/2018,conventional,0.84,256757.6,112638.98,32262.19,4167.93,107688.5,89971.36,17360.9,356.24,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Columbus,1/7/2018,organic,1.15,12589.45,1639.81,1133.28,0,9816.36,9106.36,710,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Dallas/Ft. Worth,1/14/2018,conventional,0.93,1333180.68,677477.52,316020.36,7862.07,331820.73,240134.19,91381.56,304.98,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Dallas/Ft. Worth,1/14/2018,organic,1.54,25628.61,5179.65,577.3,0,19871.66,16878.39,2993.27,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Dallas/Ft. Worth,1/21/2018,conventional,0.85,1437239.09,728035,216211.98,6291.83,486700.28,410340.65,76287.17,72.46,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Dallas/Ft. Worth,1/21/2018,organic,1.5,24032.87,4244.71,360.17,0,19427.99,17607.8,1820.19,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Dallas/Ft. Worth,1/28/2018,conventional,0.82,1433095.36,781164.88,187033.59,5596.69,459300.2,378776.69,80095.8,427.71,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Dallas/Ft. Worth,1/28/2018,organic,1.45,26069.14,4936.84,476.06,0,20656.24,19613.2,1043.04,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Dallas/Ft. Worth,1/7/2018,conventional,0.92,1140210.38,587439.51,258369.66,5543.59,288857.62,183640.29,104915.08,302.25,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Dallas/Ft. Worth,1/7/2018,organic,1.45,21286.58,4020.53,454.86,0,16811.19,14157.14,2654.05,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Denver,1/14/2018,conventional,1.1,1003142.47,178992.28,323916.08,11963.62,488270.49,121454.8,366815.69,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Denver,1/14/2018,organic,1.53,36501.82,8395.91,839.11,53.61,27213.19,25789.59,1423.6,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Denver,1/21/2018,conventional,1.16,872673.39,147297.68,233968.98,14834.26,476572.47,101867.53,374703.83,1.11,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Denver,1/21/2018,organic,1.55,30143.3,7841.79,687.2,32.61,21581.7,20613.26,968.44,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Denver,1/28/2018,conventional,1.15,773218.13,181751.78,215803.07,9803.85,365859.43,111320.37,254537.95,1.11,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Denver,1/28/2018,organic,1.51,27513.73,6132.33,550.8,36.18,20794.42,20366.98,427.44,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Denver,1/7/2018,conventional,1.01,963849.75,184830.15,292349.16,14102.19,472568.25,112396.9,360171.35,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Denver,1/7/2018,organic,1.38,39706.28,8896.86,939.38,22.09,29847.95,28597.18,1250.77,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Detroit,1/14/2018,conventional,1.18,369628.1,94963.97,60826.16,13812.28,200025.69,162745.09,36032.53,1248.07,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Detroit,1/14/2018,organic,1.32,20636.96,750.22,3266.56,0,16598.98,15422.79,1176.19,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Detroit,1/21/2018,conventional,0.96,570161.95,87365.29,220100.47,46163.59,216532.6,146574.63,65171.17,4786.8,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Detroit,1/21/2018,organic,1.41,22121.43,826.25,3379.62,0,17890.6,11215.49,6675.11,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Detroit,1/28/2018,conventional,1.14,367456.05,80917,70055.35,14554.29,201929.41,177720.43,23023.66,1185.32,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Detroit,1/28/2018,organic,1.29,20073.36,738.01,3026.96,0,16298.93,12972.63,3326.3,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Detroit,1/7/2018,conventional,0.92,512142.96,164665.38,81248.88,23315.8,242912.9,195595.55,45090.53,2226.82,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
